Vardas            Pavarde              Galutinis(Vid.) Galutinis(Med.)
Vardas1929        Pavarde1929                     1.32            1.00
Vardas6256        Pavarde6256                     1.32            1.00
Vardas6701        Pavarde6701                     1.32            1.00
Vardas1025        Pavarde1025                     1.48            1.00
Vardas5553        Pavarde5553                     1.48            1.40
Vardas2607        Pavarde2607                     1.56            1.40
Vardas4274        Pavarde4274                     1.56            1.80
Vardas3884        Pavarde3884                     1.64            1.80
Vardas5703        Pavarde5703                     1.64            1.40
Vardas9832        Pavarde9832                     1.64            1.00
Vardas260         Pavarde260                      1.72            1.40
Vardas3734        Pavarde3734                     1.72            1.80
Vardas6918        Pavarde6918                     1.72            1.40
Vardas9062        Pavarde9062                     1.72            1.80
Vardas9955        Pavarde9955                     1.72            1.80
Vardas62          Pavarde62                       1.76            1.60
Vardas1487        Pavarde1487                     1.80            1.40
Vardas1692        Pavarde1692                     1.80            1.80
Vardas44          Pavarde44                       1.80            1.00
Vardas5644        Pavarde5644                     1.80            1.80
Vardas7031        Pavarde7031                     1.80            1.80
Vardas9938        Pavarde9938                     1.80            2.20
Vardas110         Pavarde110                      1.88            1.80
Vardas1250        Pavarde1250                     1.88            2.20
Vardas1372        Pavarde1372                     1.88            1.40
Vardas3571        Pavarde3571                     1.88            1.40
Vardas4714        Pavarde4714                     1.88            2.20
Vardas5506        Pavarde5506                     1.88            1.80
Vardas6611        Pavarde6611                     1.88            1.40
Vardas7441        Pavarde7441                     1.88            1.80
Vardas9368        Pavarde9368                     1.88            1.80
Vardas9841        Pavarde9841                     1.88            1.40
Vardas3939        Pavarde3939                     1.92            1.60
Vardas1928        Pavarde1928                     1.96            1.80
Vardas2421        Pavarde2421                     1.96            2.20
Vardas261         Pavarde261                      1.96            1.80
Vardas3697        Pavarde3697                     1.96            1.80
Vardas3766        Pavarde3766                     1.96            2.20
Vardas4913        Pavarde4913                     1.96            1.40
Vardas5054        Pavarde5054                     1.96            1.80
Vardas514         Pavarde514                      1.96            1.80
Vardas6725        Pavarde6725                     1.96            1.40
Vardas812         Pavarde812                      1.96            1.80
Vardas8296        Pavarde8296                     1.96            1.40
Vardas1212        Pavarde1212                     2.00            1.60
Vardas1541        Pavarde1541                     2.00            2.00
Vardas1090        Pavarde1090                     2.04            2.20
Vardas1842        Pavarde1842                     2.04            1.40
Vardas1973        Pavarde1973                     2.04            2.20
Vardas2082        Pavarde2082                     2.04            1.40
Vardas2886        Pavarde2886                     2.04            1.80
Vardas2975        Pavarde2975                     2.04            1.80
Vardas3469        Pavarde3469                     2.04            1.40
Vardas3926        Pavarde3926                     2.04            1.40
Vardas4480        Pavarde4480                     2.04            1.80
Vardas4662        Pavarde4662                     2.04            2.20
Vardas4868        Pavarde4868                     2.04            1.80
Vardas5694        Pavarde5694                     2.04            1.80
Vardas5772        Pavarde5772                     2.04            1.80
Vardas5984        Pavarde5984                     2.04            1.80
Vardas6516        Pavarde6516                     2.04            2.20
Vardas6584        Pavarde6584                     2.04            1.40
Vardas6651        Pavarde6651                     2.04            1.80
Vardas6850        Pavarde6850                     2.04            1.40
Vardas7117        Pavarde7117                     2.04            1.80
Vardas7436        Pavarde7436                     2.04            1.40
Vardas7488        Pavarde7488                     2.04            1.80
Vardas7754        Pavarde7754                     2.04            2.20
Vardas8488        Pavarde8488                     2.04            2.20
Vardas861         Pavarde861                      2.04            1.80
Vardas8927        Pavarde8927                     2.04            1.80
Vardas9028        Pavarde9028                     2.04            1.80
Vardas9101        Pavarde9101                     2.04            1.40
Vardas9397        Pavarde9397                     2.04            1.40
Vardas9944        Pavarde9944                     2.04            2.20
Vardas1022        Pavarde1022                     2.08            1.60
Vardas9738        Pavarde9738                     2.08            2.00
Vardas1220        Pavarde1220                     2.12            1.80
Vardas1497        Pavarde1497                     2.12            1.80
Vardas2022        Pavarde2022                     2.12            1.80
Vardas2572        Pavarde2572                     2.12            2.20
Vardas3430        Pavarde3430                     2.12            1.80
Vardas3476        Pavarde3476                     2.12            2.60
Vardas3560        Pavarde3560                     2.12            1.80
Vardas3777        Pavarde3777                     2.12            1.80
Vardas4089        Pavarde4089                     2.12            1.80
Vardas4268        Pavarde4268                     2.12            2.20
Vardas4553        Pavarde4553                     2.12            1.80
Vardas4631        Pavarde4631                     2.12            1.80
Vardas5108        Pavarde5108                     2.12            1.80
Vardas5407        Pavarde5407                     2.12            1.40
Vardas565         Pavarde565                      2.12            1.40
Vardas6235        Pavarde6235                     2.12            1.80
Vardas6652        Pavarde6652                     2.12            1.80
Vardas7831        Pavarde7831                     2.12            2.20
Vardas7853        Pavarde7853                     2.12            2.20
Vardas8150        Pavarde8150                     2.12            1.80
Vardas8181        Pavarde8181                     2.12            1.80
Vardas8225        Pavarde8225                     2.12            1.40
Vardas8260        Pavarde8260                     2.12            1.80
Vardas9735        Pavarde9735                     2.12            1.40
Vardas9772        Pavarde9772                     2.12            1.80
Vardas9840        Pavarde9840                     2.12            2.20
Vardas2523        Pavarde2523                     2.16            1.60
Vardas4512        Pavarde4512                     2.16            2.40
Vardas8408        Pavarde8408                     2.16            2.00
Vardas8727        Pavarde8727                     2.16            2.00
Vardas9715        Pavarde9715                     2.16            2.40
Vardas1309        Pavarde1309                     2.20            2.20
Vardas1420        Pavarde1420                     2.20            2.20
Vardas1584        Pavarde1584                     2.20            1.00
Vardas1629        Pavarde1629                     2.20            1.80
Vardas1661        Pavarde1661                     2.20            1.80
Vardas1800        Pavarde1800                     2.20            1.80
Vardas1966        Pavarde1966                     2.20            2.60
Vardas2130        Pavarde2130                     2.20            2.60
Vardas2143        Pavarde2143                     2.20            2.60
Vardas2719        Pavarde2719                     2.20            2.20
Vardas2930        Pavarde2930                     2.20            2.20
Vardas3497        Pavarde3497                     2.20            2.20
Vardas3530        Pavarde3530                     2.20            1.40
Vardas3787        Pavarde3787                     2.20            1.80
Vardas3881        Pavarde3881                     2.20            2.20
Vardas424         Pavarde424                      2.20            1.40
Vardas4471        Pavarde4471                     2.20            1.80
Vardas4538        Pavarde4538                     2.20            1.80
Vardas4968        Pavarde4968                     2.20            2.20
Vardas5099        Pavarde5099                     2.20            2.20
Vardas5949        Pavarde5949                     2.20            1.80
Vardas6188        Pavarde6188                     2.20            2.20
Vardas634         Pavarde634                      2.20            2.20
Vardas6736        Pavarde6736                     2.20            1.40
Vardas7039        Pavarde7039                     2.20            1.80
Vardas7080        Pavarde7080                     2.20            3.00
Vardas7352        Pavarde7352                     2.20            2.20
Vardas7415        Pavarde7415                     2.20            2.20
Vardas7632        Pavarde7632                     2.20            2.20
Vardas8081        Pavarde8081                     2.20            1.80
Vardas810         Pavarde810                      2.20            2.20
Vardas8336        Pavarde8336                     2.20            1.80
Vardas8492        Pavarde8492                     2.20            1.80
Vardas8584        Pavarde8584                     2.20            2.60
Vardas8653        Pavarde8653                     2.20            2.20
Vardas8902        Pavarde8902                     2.20            1.80
Vardas8912        Pavarde8912                     2.20            2.20
Vardas9445        Pavarde9445                     2.20            2.20
Vardas9668        Pavarde9668                     2.20            2.20
Vardas9688        Pavarde9688                     2.20            2.20
Vardas9727        Pavarde9727                     2.20            1.80
Vardas1268        Pavarde1268                     2.24            2.00
Vardas1901        Pavarde1901                     2.24            1.60
Vardas3897        Pavarde3897                     2.24            2.00
Vardas8194        Pavarde8194                     2.24            2.00
Vardas1255        Pavarde1255                     2.28            2.20
Vardas1721        Pavarde1721                     2.28            2.60
Vardas1890        Pavarde1890                     2.28            2.20
Vardas1954        Pavarde1954                     2.28            2.20
Vardas2670        Pavarde2670                     2.28            2.60
Vardas294         Pavarde294                      2.28            2.60
Vardas2972        Pavarde2972                     2.28            2.20
Vardas3207        Pavarde3207                     2.28            1.00
Vardas3218        Pavarde3218                     2.28            1.80
Vardas3447        Pavarde3447                     2.28            1.80
Vardas4088        Pavarde4088                     2.28            2.60
Vardas4399        Pavarde4399                     2.28            1.80
Vardas4435        Pavarde4435                     2.28            2.20
Vardas4750        Pavarde4750                     2.28            1.80
Vardas4977        Pavarde4977                     2.28            1.40
Vardas5472        Pavarde5472                     2.28            2.20
Vardas5788        Pavarde5788                     2.28            2.20
Vardas6154        Pavarde6154                     2.28            1.80
Vardas6466        Pavarde6466                     2.28            1.80
Vardas6573        Pavarde6573                     2.28            1.80
Vardas7620        Pavarde7620                     2.28            1.00
Vardas7635        Pavarde7635                     2.28            2.20
Vardas8333        Pavarde8333                     2.28            2.20
Vardas8379        Pavarde8379                     2.28            2.20
Vardas8943        Pavarde8943                     2.28            1.80
Vardas937         Pavarde937                      2.28            1.80
Vardas9933        Pavarde9933                     2.28            1.80
Vardas2702        Pavarde2702                     2.32            2.40
Vardas380         Pavarde380                      2.32            2.00
Vardas4849        Pavarde4849                     2.32            2.40
Vardas547         Pavarde547                      2.32            1.60
Vardas6320        Pavarde6320                     2.32            2.40
Vardas7417        Pavarde7417                     2.32            2.00
Vardas7895        Pavarde7895                     2.32            2.40
Vardas7915        Pavarde7915                     2.32            2.40
Vardas8166        Pavarde8166                     2.32            2.40
Vardas9863        Pavarde9863                     2.32            2.00
Vardas1283        Pavarde1283                     2.36            2.60
