Vardas            Pavarde              Galutinis(Vid.) Galutinis(Med.)
Vardas141         Pavarde141                      5.00            5.40
Vardas371         Pavarde371                      5.00            5.00
Vardas383         Pavarde383                      5.00            5.40
Vardas544         Pavarde544                      5.00            5.00
Vardas795         Pavarde795                      5.00            4.60
Vardas125         Pavarde125                      5.04            5.60
Vardas647         Pavarde647                      5.04            5.60
Vardas989         Pavarde989                      5.04            4.80
Vardas15          Pavarde15                       5.08            5.00
Vardas200         Pavarde200                      5.08            4.60
Vardas347         Pavarde347                      5.08            5.40
Vardas632         Pavarde632                      5.08            4.60
Vardas677         Pavarde677                      5.08            4.60
Vardas859         Pavarde859                      5.08            4.60
Vardas424         Pavarde424                      5.12            4.40
Vardas831         Pavarde831                      5.12            4.80
Vardas215         Pavarde215                      5.12            5.60
Vardas481         Pavarde481                      5.12            4.80
Vardas797         Pavarde797                      5.12            5.60
Vardas851         Pavarde851                      5.12            5.60
Vardas230         Pavarde230                      5.16            5.00
Vardas389         Pavarde389                      5.16            5.00
Vardas69          Pavarde69                       5.16            5.00
Vardas756         Pavarde756                      5.16            5.00
Vardas760         Pavarde760                      5.16            5.80
Vardas79          Pavarde79                       5.16            5.40
Vardas850         Pavarde850                      5.16            5.40
Vardas796         Pavarde796                      5.20            5.20
Vardas975         Pavarde975                      5.20            5.20
Vardas995         Pavarde995                      5.20            4.80
Vardas703         Pavarde703                      5.24            5.00
Vardas758         Pavarde758                      5.24            4.60
Vardas805         Pavarde805                      5.24            5.00
Vardas13          Pavarde13                       5.28            4.80
Vardas479         Pavarde479                      5.28            5.20
Vardas496         Pavarde496                      5.28            5.20
Vardas133         Pavarde133                      5.28            6.00
Vardas218         Pavarde218                      5.28            5.60
Vardas263         Pavarde263                      5.28            5.60
Vardas499         Pavarde499                      5.28            6.00
Vardas248         Pavarde248                      5.32            5.80
Vardas459         Pavarde459                      5.32            5.80
Vardas493         Pavarde493                      5.32            5.00
Vardas557         Pavarde557                      5.32            5.00
Vardas695         Pavarde695                      5.32            5.40
Vardas743         Pavarde743                      5.32            5.00
Vardas793         Pavarde793                      5.32            5.80
Vardas833         Pavarde833                      5.32            5.40
Vardas892         Pavarde892                      5.32            4.60
Vardas972         Pavarde972                      5.32            5.40
Vardas984         Pavarde984                      5.32            5.00
Vardas161         Pavarde161                      5.36            6.00
Vardas730         Pavarde730                      5.36            5.60
Vardas314         Pavarde314                      5.36            6.00
Vardas977         Pavarde977                      5.36            6.00
Vardas220         Pavarde220                      5.40            5.40
Vardas511         Pavarde511                      5.40            5.80
Vardas633         Pavarde633                      5.40            5.80
Vardas910         Pavarde910                      5.40            5.40
