Vardas            Pavarde              Galutinis(Vid.) Galutinis(Med.)
Vardas20          Pavarde20                       1.72            1.40
Vardas124         Pavarde124                      1.88            1.00
Vardas744         Pavarde744                      1.88            1.80
Vardas504         Pavarde504                      1.96            1.80
Vardas624         Pavarde624                      1.96            1.80
Vardas936         Pavarde936                      1.96            1.80
Vardas903         Pavarde903                      2.04            1.80
Vardas351         Pavarde351                      2.12            1.80
Vardas398         Pavarde398                      2.12            1.40
Vardas762         Pavarde762                      2.20            1.80
Vardas433         Pavarde433                      2.24            2.00
Vardas532         Pavarde532                      2.24            1.60
Vardas542         Pavarde542                      2.28            1.80
Vardas616         Pavarde616                      2.28            1.40
Vardas767         Pavarde767                      2.28            1.80
Vardas946         Pavarde946                      2.28            2.20
Vardas182         Pavarde182                      2.32            1.60
Vardas332         Pavarde332                      2.32            2.40
Vardas435         Pavarde435                      2.32            2.40
Vardas510         Pavarde510                      2.32            2.80
Vardas113         Pavarde113                      2.36            2.60
Vardas206         Pavarde206                      2.36            2.20
Vardas255         Pavarde255                      2.36            2.20
Vardas294         Pavarde294                      2.36            2.20
Vardas357         Pavarde357                      2.36            2.20
Vardas552         Pavarde552                      2.36            2.60
Vardas864         Pavarde864                      2.36            2.20
Vardas976         Pavarde976                      2.36            2.20
Vardas671         Pavarde671                      2.40            2.00
Vardas12          Pavarde12                       2.44            1.80
Vardas146         Pavarde146                      2.44            1.80
Vardas173         Pavarde173                      2.44            2.20
Vardas368         Pavarde368                      2.44            2.60
Vardas514         Pavarde514                      2.44            1.40
Vardas958         Pavarde958                      2.44            1.80
Vardas419         Pavarde419                      2.48            2.40
Vardas791         Pavarde791                      2.48            2.40
Vardas129         Pavarde129                      2.52            1.80
Vardas150         Pavarde150                      2.52            1.80
Vardas242         Pavarde242                      2.52            2.20
Vardas278         Pavarde278                      2.52            2.20
Vardas480         Pavarde480                      2.52            2.20
Vardas489         Pavarde489                      2.52            3.00
Vardas685         Pavarde685                      2.52            1.80
Vardas692         Pavarde692                      2.52            3.00
Vardas782         Pavarde782                      2.52            3.00
Vardas437         Pavarde437                      2.56            2.00
Vardas550         Pavarde550                      2.56            2.40
Vardas761         Pavarde761                      2.56            2.00
Vardas216         Pavarde216                      2.60            2.20
Vardas238         Pavarde238                      2.60            2.60
Vardas297         Pavarde297                      2.60            3.00
Vardas338         Pavarde338                      2.60            2.60
Vardas477         Pavarde477                      2.60            2.20
Vardas661         Pavarde661                      2.60            2.60
Vardas809         Pavarde809                      2.60            2.20
Vardas379         Pavarde379                      2.64            2.80
Vardas88          Pavarde88                       2.64            2.40
Vardas118         Pavarde118                      2.68            2.20
Vardas119         Pavarde119                      2.68            3.00
Vardas152         Pavarde152                      2.68            2.20
Vardas393         Pavarde393                      2.68            2.60
Vardas527         Pavarde527                      2.68            2.60
Vardas634         Pavarde634                      2.68            3.00
