Vardas            Pavarde              Galutinis(Vid.) Galutinis(Med.)
Vardas1040        Pavarde1040                     5.00            5.00
Vardas1075        Pavarde1075                     5.00            5.00
Vardas1297        Pavarde1297                     5.00            5.00
Vardas142         Pavarde142                      5.00            4.20
Vardas1531        Pavarde1531                     5.00            5.00
Vardas1551        Pavarde1551                     5.00            4.60
Vardas1736        Pavarde1736                     5.00            5.00
Vardas1874        Pavarde1874                     5.00            5.00
Vardas1909        Pavarde1909                     5.00            5.40
Vardas1920        Pavarde1920                     5.00            4.60
Vardas2102        Pavarde2102                     5.00            5.40
Vardas2447        Pavarde2447                     5.00            5.00
Vardas2565        Pavarde2565                     5.00            5.80
Vardas2840        Pavarde2840                     5.00            5.00
Vardas3032        Pavarde3032                     5.00            4.60
Vardas3147        Pavarde3147                     5.00            5.40
Vardas3173        Pavarde3173                     5.00            5.40
Vardas3239        Pavarde3239                     5.00            5.40
Vardas3305        Pavarde3305                     5.00            4.60
Vardas3326        Pavarde3326                     5.00            5.40
Vardas3361        Pavarde3361                     5.00            4.20
Vardas3385        Pavarde3385                     5.00            5.40
Vardas4085        Pavarde4085                     5.00            5.00
Vardas4291        Pavarde4291                     5.00            4.60
Vardas4322        Pavarde4322                     5.00            5.40
Vardas4649        Pavarde4649                     5.00            4.60
Vardas4702        Pavarde4702                     5.00            5.00
Vardas4896        Pavarde4896                     5.00            4.60
Vardas4939        Pavarde4939                     5.00            5.00
Vardas5321        Pavarde5321                     5.00            5.00
Vardas5339        Pavarde5339                     5.00            4.60
Vardas5398        Pavarde5398                     5.00            5.40
Vardas5441        Pavarde5441                     5.00            5.00
Vardas5455        Pavarde5455                     5.00            5.00
Vardas5932        Pavarde5932                     5.00            4.20
Vardas646         Pavarde646                      5.00            4.60
Vardas6946        Pavarde6946                     5.00            5.40
Vardas7098        Pavarde7098                     5.00            5.00
Vardas7306        Pavarde7306                     5.00            5.00
Vardas7433        Pavarde7433                     5.00            4.60
Vardas7518        Pavarde7518                     5.00            5.00
Vardas7771        Pavarde7771                     5.00            5.40
Vardas7910        Pavarde7910                     5.00            5.00
Vardas8033        Pavarde8033                     5.00            4.60
Vardas8125        Pavarde8125                     5.00            5.40
Vardas844         Pavarde844                      5.00            4.60
Vardas8520        Pavarde8520                     5.00            5.00
Vardas8539        Pavarde8539                     5.00            5.00
Vardas8665        Pavarde8665                     5.00            5.00
Vardas8761        Pavarde8761                     5.00            5.00
Vardas9105        Pavarde9105                     5.00            4.20
Vardas9151        Pavarde9151                     5.00            5.00
Vardas9193        Pavarde9193                     5.00            5.40
Vardas9699        Pavarde9699                     5.00            5.80
Vardas9774        Pavarde9774                     5.00            4.60
Vardas9926        Pavarde9926                     5.00            5.00
Vardas1238        Pavarde1238                     5.04            5.20
Vardas1534        Pavarde1534                     5.04            5.20
Vardas1712        Pavarde1712                     5.04            5.20
Vardas1894        Pavarde1894                     5.04            4.80
Vardas1898        Pavarde1898                     5.04            4.40
Vardas1948        Pavarde1948                     5.04            4.80
Vardas2240        Pavarde2240                     5.04            5.60
Vardas2337        Pavarde2337                     5.04            5.20
Vardas2365        Pavarde2365                     5.04            4.80
Vardas2561        Pavarde2561                     5.04            5.20
Vardas3406        Pavarde3406                     5.04            5.60
Vardas3513        Pavarde3513                     5.04            5.20
Vardas3522        Pavarde3522                     5.04            4.40
Vardas3598        Pavarde3598                     5.04            4.40
Vardas3624        Pavarde3624                     5.04            4.80
Vardas383         Pavarde383                      5.04            5.60
Vardas4019        Pavarde4019                     5.04            5.20
Vardas4119        Pavarde4119                     5.04            5.20
Vardas4147        Pavarde4147                     5.04            4.80
Vardas4174        Pavarde4174                     5.04            5.20
Vardas4193        Pavarde4193                     5.04            5.20
Vardas4255        Pavarde4255                     5.04            5.20
Vardas4280        Pavarde4280                     5.04            5.20
Vardas4382        Pavarde4382                     5.04            5.20
Vardas4485        Pavarde4485                     5.04            4.80
Vardas4501        Pavarde4501                     5.04            4.40
Vardas4615        Pavarde4615                     5.04            4.80
Vardas4674        Pavarde4674                     5.04            4.80
Vardas5189        Pavarde5189                     5.04            5.60
Vardas5330        Pavarde5330                     5.04            5.20
Vardas5357        Pavarde5357                     5.04            5.20
Vardas5620        Pavarde5620                     5.04            4.80
Vardas566         Pavarde566                      5.04            5.60
Vardas5764        Pavarde5764                     5.04            4.80
Vardas5885        Pavarde5885                     5.04            5.20
Vardas598         Pavarde598                      5.04            5.20
Vardas6061        Pavarde6061                     5.04            5.20
Vardas6152        Pavarde6152                     5.04            5.20
Vardas6195        Pavarde6195                     5.04            5.20
Vardas6202        Pavarde6202                     5.04            5.20
Vardas6239        Pavarde6239                     5.04            4.80
Vardas6251        Pavarde6251                     5.04            5.20
Vardas6260        Pavarde6260                     5.04            4.40
Vardas6344        Pavarde6344                     5.04            4.80
Vardas6408        Pavarde6408                     5.04            4.40
Vardas6803        Pavarde6803                     5.04            5.20
Vardas684         Pavarde684                      5.04            4.80
Vardas6844        Pavarde6844                     5.04            5.20
Vardas7567        Pavarde7567                     5.04            5.20
Vardas7605        Pavarde7605                     5.04            4.80
Vardas7898        Pavarde7898                     5.04            6.40
Vardas8102        Pavarde8102                     5.04            5.20
Vardas817         Pavarde817                      5.04            4.80
Vardas8381        Pavarde8381                     5.04            5.60
Vardas8390        Pavarde8390                     5.04            4.80
Vardas8551        Pavarde8551                     5.04            5.60
Vardas8845        Pavarde8845                     5.04            5.20
Vardas8878        Pavarde8878                     5.04            5.20
Vardas9069        Pavarde9069                     5.04            5.20
Vardas9115        Pavarde9115                     5.04            5.20
Vardas9203        Pavarde9203                     5.04            5.20
Vardas9254        Pavarde9254                     5.04            4.40
Vardas9334        Pavarde9334                     5.04            4.80
Vardas9504        Pavarde9504                     5.04            5.60
Vardas9560        Pavarde9560                     5.04            4.80
Vardas9623        Pavarde9623                     5.04            5.20
Vardas9670        Pavarde9670                     5.04            4.80
Vardas9902        Pavarde9902                     5.04            4.80
Vardas1384        Pavarde1384                     5.08            4.60
Vardas1525        Pavarde1525                     5.08            4.60
Vardas1628        Pavarde1628                     5.08            4.60
Vardas1638        Pavarde1638                     5.08            5.00
Vardas1662        Pavarde1662                     5.08            4.20
Vardas1724        Pavarde1724                     5.08            5.00
Vardas182         Pavarde182                      5.08            5.00
Vardas2006        Pavarde2006                     5.08            4.60
Vardas2115        Pavarde2115                     5.08            5.40
Vardas2158        Pavarde2158                     5.08            4.60
Vardas2188        Pavarde2188                     5.08            4.60
Vardas2283        Pavarde2283                     5.08            4.60
Vardas2412        Pavarde2412                     5.08            5.00
Vardas2429        Pavarde2429                     5.08            5.40
Vardas2538        Pavarde2538                     5.08            5.00
Vardas2642        Pavarde2642                     5.08            5.00
Vardas2880        Pavarde2880                     5.08            5.00
Vardas3017        Pavarde3017                     5.08            4.60
Vardas3163        Pavarde3163                     5.08            5.00
Vardas3193        Pavarde3193                     5.08            5.40
Vardas4456        Pavarde4456                     5.08            5.40
Vardas4494        Pavarde4494                     5.08            4.60
Vardas4628        Pavarde4628                     5.08            5.40
Vardas4765        Pavarde4765                     5.08            5.00
Vardas5104        Pavarde5104                     5.08            4.60
Vardas5295        Pavarde5295                     5.08            5.00
Vardas5484        Pavarde5484                     5.08            5.00
Vardas5512        Pavarde5512                     5.08            5.00
Vardas5631        Pavarde5631                     5.08            5.00
Vardas5719        Pavarde5719                     5.08            5.00
Vardas6174        Pavarde6174                     5.08            5.00
Vardas6191        Pavarde6191                     5.08            5.00
Vardas626         Pavarde626                      5.08            4.60
Vardas6325        Pavarde6325                     5.08            5.00
Vardas6339        Pavarde6339                     5.08            5.40
Vardas6424        Pavarde6424                     5.08            5.40
Vardas6545        Pavarde6545                     5.08            4.60
Vardas6866        Pavarde6866                     5.08            5.00
Vardas6874        Pavarde6874                     5.08            5.00
Vardas6932        Pavarde6932                     5.08            5.00
Vardas7087        Pavarde7087                     5.08            4.60
Vardas7137        Pavarde7137                     5.08            4.60
Vardas7156        Pavarde7156                     5.08            5.40
Vardas7432        Pavarde7432                     5.08            4.60
Vardas7676        Pavarde7676                     5.08            4.20
Vardas7913        Pavarde7913                     5.08            5.00
Vardas7985        Pavarde7985                     5.08            5.00
Vardas8131        Pavarde8131                     5.08            5.40
Vardas8241        Pavarde8241                     5.08            5.00
Vardas8449        Pavarde8449                     5.08            5.80
Vardas8642        Pavarde8642                     5.08            4.20
Vardas8894        Pavarde8894                     5.08            4.60
Vardas9007        Pavarde9007                     5.08            4.60
Vardas9134        Pavarde9134                     5.08            5.00
Vardas9232        Pavarde9232                     5.08            4.60
Vardas957         Pavarde957                      5.08            5.80
Vardas976         Pavarde976                      5.08            4.60
Vardas9849        Pavarde9849                     5.08            5.40
Vardas9919        Pavarde9919                     5.08            5.40
Vardas221         Pavarde221                      5.12            5.20
Vardas2280        Pavarde2280                     5.12            4.80
Vardas2555        Pavarde2555                     5.12            5.60
Vardas2854        Pavarde2854                     5.12            4.80
Vardas3031        Pavarde3031                     5.12            4.40
Vardas3273        Pavarde3273                     5.12            5.60
Vardas3350        Pavarde3350                     5.12            4.80
Vardas3467        Pavarde3467                     5.12            5.60
Vardas3543        Pavarde3543                     5.12            5.20
Vardas3771        Pavarde3771                     5.12            4.40
Vardas3938        Pavarde3938                     5.12            5.20
Vardas3954        Pavarde3954                     5.12            4.40
Vardas3992        Pavarde3992                     5.12            5.20
Vardas4136        Pavarde4136                     5.12            4.40
Vardas4423        Pavarde4423                     5.12            5.20
Vardas4740        Pavarde4740                     5.12            4.80
Vardas5534        Pavarde5534                     5.12            4.80
Vardas557         Pavarde557                      5.12            4.80
Vardas5895        Pavarde5895                     5.12            5.20
Vardas6041        Pavarde6041                     5.12            5.20
Vardas665         Pavarde665                      5.12            4.80
Vardas7032        Pavarde7032                     5.12            4.40
Vardas7198        Pavarde7198                     5.12            5.20
Vardas7301        Pavarde7301                     5.12            4.80
Vardas7589        Pavarde7589                     5.12            5.20
Vardas7680        Pavarde7680                     5.12            4.80
Vardas8553        Pavarde8553                     5.12            5.20
Vardas8770        Pavarde8770                     5.12            4.40
Vardas9061        Pavarde9061                     5.12            4.80
Vardas9810        Pavarde9810                     5.12            4.80
Vardas9850        Pavarde9850                     5.12            4.80
Vardas1134        Pavarde1134                     5.12            5.60
Vardas1215        Pavarde1215                     5.12            5.60
Vardas1337        Pavarde1337                     5.12            5.60
Vardas141         Pavarde141                      5.12            5.20
Vardas2190        Pavarde2190                     5.12            5.60
Vardas22          Pavarde22                       5.12            4.80
Vardas2232        Pavarde2232                     5.12            5.20
Vardas2239        Pavarde2239                     5.12            5.60
Vardas2750        Pavarde2750                     5.12            5.20
Vardas3576        Pavarde3576                     5.12            5.60
Vardas3763        Pavarde3763                     5.12            5.60
Vardas4180        Pavarde4180                     5.12            5.60
Vardas43          Pavarde43                       5.12            5.60
Vardas4411        Pavarde4411                     5.12            6.00
Vardas4476        Pavarde4476                     5.12            5.20
Vardas4499        Pavarde4499                     5.12            6.00
Vardas4549        Pavarde4549                     5.12            5.20
Vardas5590        Pavarde5590                     5.12            5.20
Vardas582         Pavarde582                      5.12            4.80
Vardas6067        Pavarde6067                     5.12            5.20
Vardas6164        Pavarde6164                     5.12            4.80
Vardas694         Pavarde694                      5.12            4.80
Vardas7002        Pavarde7002                     5.12            5.20
Vardas7547        Pavarde7547                     5.12            4.40
Vardas7721        Pavarde7721                     5.12            5.60
Vardas782         Pavarde782                      5.12            4.80
Vardas796         Pavarde796                      5.12            4.80
Vardas7967        Pavarde7967                     5.12            5.20
Vardas8323        Pavarde8323                     5.12            4.80
Vardas8489        Pavarde8489                     5.12            5.20
Vardas8530        Pavarde8530                     5.12            5.20
Vardas886         Pavarde886                      5.12            5.60
Vardas8983        Pavarde8983                     5.12            6.00
Vardas9343        Pavarde9343                     5.12            4.80
Vardas9401        Pavarde9401                     5.12            5.20
Vardas9440        Pavarde9440                     5.12            5.60
Vardas959         Pavarde959                      5.12            5.60
Vardas9608        Pavarde9608                     5.12            5.60
Vardas1049        Pavarde1049                     5.16            5.00
Vardas1203        Pavarde1203                     5.16            5.00
Vardas1213        Pavarde1213                     5.16            5.40
Vardas1311        Pavarde1311                     5.16            5.00
Vardas1425        Pavarde1425                     5.16            4.20
Vardas1610        Pavarde1610                     5.16            5.40
Vardas1717        Pavarde1717                     5.16            5.40
Vardas1806        Pavarde1806                     5.16            4.60
Vardas1851        Pavarde1851                     5.16            5.00
Vardas1855        Pavarde1855                     5.16            5.40
Vardas187         Pavarde187                      5.16            5.80
Vardas1976        Pavarde1976                     5.16            4.60
Vardas2122        Pavarde2122                     5.16            5.80
Vardas2214        Pavarde2214                     5.16            5.00
Vardas2328        Pavarde2328                     5.16            4.60
Vardas2729        Pavarde2729                     5.16            4.60
Vardas2789        Pavarde2789                     5.16            5.40
Vardas2887        Pavarde2887                     5.16            5.40
Vardas3108        Pavarde3108                     5.16            5.00
Vardas3181        Pavarde3181                     5.16            5.40
Vardas3263        Pavarde3263                     5.16            5.40
Vardas3567        Pavarde3567                     5.16            5.40
Vardas3610        Pavarde3610                     5.16            5.00
Vardas3689        Pavarde3689                     5.16            5.00
Vardas3733        Pavarde3733                     5.16            5.00
Vardas3902        Pavarde3902                     5.16            5.40
Vardas4017        Pavarde4017                     5.16            4.60
Vardas4029        Pavarde4029                     5.16            5.40
Vardas4197        Pavarde4197                     5.16            5.40
