Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 6 2 8 1 1 7
Vardas2 Pavarde2 5 1 5 5 1 9
Vardas3 Pavarde3 1 8 6 4 2 10
Vardas4 Pavarde4 6 5 6 9 2 3
Vardas5 Pavarde5 9 3 9 5 10 6
Vardas6 Pavarde6 8 8 4 9 9 3
Vardas7 Pavarde7 5 4 3 4 10 1
Vardas8 Pavarde8 2 6 3 7 6 1
Vardas9 Pavarde9 3 9 10 2 3 2
Vardas10 Pavarde10 6 1 7 7 6 6
Vardas11 Pavarde11 10 10 5 4 4 1
Vardas12 Pavarde12 1 10 6 5 1 8
Vardas13 Pavarde13 2 5 8 1 1 9
Vardas14 Pavarde14 4 4 3 3 8 1
Vardas15 Pavarde15 8 6 4 5 3 2
Vardas16 Pavarde16 4 2 3 2 4 3
Vardas17 Pavarde17 7 4 10 3 9 7
Vardas18 Pavarde18 3 1 2 8 6 1
Vardas19 Pavarde19 1 10 5 10 10 5
Vardas20 Pavarde20 9 9 3 5 10 8
Vardas21 Pavarde21 3 7 10 9 10 6
Vardas22 Pavarde22 9 3 9 6 9 7
Vardas23 Pavarde23 2 3 8 9 8 10
Vardas24 Pavarde24 3 5 1 5 6 7
Vardas25 Pavarde25 8 2 8 7 9 3
Vardas26 Pavarde26 3 5 9 5 5 6
Vardas27 Pavarde27 8 10 7 1 4 8
Vardas28 Pavarde28 10 4 8 7 2 2
Vardas29 Pavarde29 9 7 5 1 1 10
Vardas30 Pavarde30 3 4 9 7 5 9
Vardas31 Pavarde31 6 10 3 4 9 8
Vardas32 Pavarde32 1 9 4 8 5 9
Vardas33 Pavarde33 4 2 8 10 5 2
Vardas34 Pavarde34 10 8 4 2 2 8
Vardas35 Pavarde35 1 2 6 2 4 3
Vardas36 Pavarde36 6 1 6 10 1 6
Vardas37 Pavarde37 4 9 1 3 6 3
Vardas38 Pavarde38 8 7 5 1 6 3
Vardas39 Pavarde39 10 5 3 9 2 3
Vardas40 Pavarde40 9 9 10 4 4 4
Vardas41 Pavarde41 1 4 4 7 10 9
Vardas42 Pavarde42 1 9 6 10 4 4
Vardas43 Pavarde43 1 6 2 10 3 9
Vardas44 Pavarde44 6 8 4 5 4 7
Vardas45 Pavarde45 1 5 8 1 8 4
Vardas46 Pavarde46 4 8 1 6 7 3
Vardas47 Pavarde47 1 10 5 1 2 6
Vardas48 Pavarde48 5 10 4 9 8 6
Vardas49 Pavarde49 8 6 3 7 4 1
Vardas50 Pavarde50 6 7 8 1 2 3
Vardas51 Pavarde51 5 10 1 4 7 1
Vardas52 Pavarde52 6 8 6 9 5 9
Vardas53 Pavarde53 2 2 5 8 1 3
Vardas54 Pavarde54 10 8 4 10 2 6
Vardas55 Pavarde55 10 9 4 1 10 1
Vardas56 Pavarde56 9 8 5 5 5 4
Vardas57 Pavarde57 1 9 3 8 9 3
Vardas58 Pavarde58 5 4 7 2 7 8
Vardas59 Pavarde59 3 8 5 2 7 8
Vardas60 Pavarde60 4 10 2 8 4 2
Vardas61 Pavarde61 3 10 8 5 9 1
Vardas62 Pavarde62 6 4 3 5 7 4
Vardas63 Pavarde63 4 5 8 8 6 9
Vardas64 Pavarde64 9 6 2 9 6 4
Vardas65 Pavarde65 4 2 10 8 8 2
Vardas66 Pavarde66 5 10 1 3 7 6
Vardas67 Pavarde67 8 10 8 10 2 4
Vardas68 Pavarde68 8 3 1 7 10 4
Vardas69 Pavarde69 3 4 6 1 3 5
Vardas70 Pavarde70 9 1 8 7 8 10
Vardas71 Pavarde71 9 6 2 8 3 3
Vardas72 Pavarde72 9 6 2 10 3 4
Vardas73 Pavarde73 5 8 10 7 3 7
Vardas74 Pavarde74 8 2 6 5 1 1
Vardas75 Pavarde75 7 5 9 5 6 2
Vardas76 Pavarde76 8 1 10 4 9 9
Vardas77 Pavarde77 10 8 8 7 6 5
Vardas78 Pavarde78 8 6 3 4 7 6
Vardas79 Pavarde79 4 10 8 8 8 8
Vardas80 Pavarde80 8 5 3 1 10 7
Vardas81 Pavarde81 6 10 10 8 5 5
Vardas82 Pavarde82 8 1 5 8 9 9
Vardas83 Pavarde83 5 9 4 9 6 2
Vardas84 Pavarde84 7 10 10 4 4 4
Vardas85 Pavarde85 2 2 4 7 5 2
Vardas86 Pavarde86 2 7 2 6 5 4
Vardas87 Pavarde87 5 7 4 10 10 6
Vardas88 Pavarde88 9 7 1 8 9 1
Vardas89 Pavarde89 5 3 2 5 2 5
Vardas90 Pavarde90 8 5 2 1 5 4
Vardas91 Pavarde91 6 7 2 10 9 9
Vardas92 Pavarde92 10 10 1 7 1 8
Vardas93 Pavarde93 10 6 8 6 9 2
Vardas94 Pavarde94 7 9 8 9 10 5
Vardas95 Pavarde95 7 5 6 10 10 5
Vardas96 Pavarde96 8 10 9 7 7 6
Vardas97 Pavarde97 5 10 7 5 2 3
Vardas98 Pavarde98 9 2 7 5 2 10
Vardas99 Pavarde99 4 8 5 8 8 4
Vardas100 Pavarde100 1 3 3 5 10 7
